/content/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding: device = cuda
Overriding: compile = False
Overriding: eval_only = False
Overriding: dataset = shakespeare_char
Overriding: out_dir = out/member3/bs128_L4_H8_E256_B16_D0.1_I400
Overriding: block_size = 128
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: dropout = 0.1
Overriding: max_iters = 120
Overriding: eval_interval = 40
Overriding: eval_iters = 50
Overriding: always_save_checkpoint = False
Overriding: init_from = scratch
Overriding: bias = False
tokens per iteration will be: 81,920
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,195,136 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.1802, val loss 4.1744
iter 0: loss 4.2085, time 2059.56ms, mfu -100.00%
iter 1: loss 4.1659, time 832.34ms, mfu -100.00%
iter 2: loss 4.1857, time 897.83ms, mfu -100.00%
iter 3: loss 4.1615, time 901.78ms, mfu -100.00%
iter 4: loss 4.1752, time 902.20ms, mfu -100.00%
iter 5: loss 4.1711, time 903.49ms, mfu 0.60%
iter 6: loss 4.1624, time 900.09ms, mfu 0.60%
iter 7: loss 4.1399, time 902.91ms, mfu 0.60%
iter 8: loss 4.1280, time 900.61ms, mfu 0.60%
iter 9: loss 4.1004, time 906.51ms, mfu 0.60%
iter 10: loss 4.0949, time 901.95ms, mfu 0.60%
iter 11: loss 4.0813, time 904.11ms, mfu 0.60%
iter 12: loss 4.0488, time 904.15ms, mfu 0.60%
iter 13: loss 4.0235, time 905.05ms, mfu 0.60%
iter 14: loss 4.0142, time 905.51ms, mfu 0.60%
iter 15: loss 3.9886, time 906.93ms, mfu 0.60%
iter 16: loss 3.9604, time 906.77ms, mfu 0.60%
iter 17: loss 3.9418, time 908.97ms, mfu 0.60%
iter 18: loss 3.9105, time 906.80ms, mfu 0.60%
iter 19: loss 3.8791, time 904.15ms, mfu 0.60%
iter 20: loss 3.8675, time 906.51ms, mfu 0.60%
iter 21: loss 3.8518, time 910.28ms, mfu 0.60%
iter 22: loss 3.7757, time 909.09ms, mfu 0.60%
iter 23: loss 3.7585, time 905.91ms, mfu 0.60%
iter 24: loss 3.7704, time 912.03ms, mfu 0.60%
iter 25: loss 3.7373, time 912.12ms, mfu 0.60%
