/content/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding: device = cuda
Overriding: compile = False
Overriding: eval_only = False
Overriding: dataset = shakespeare_char
Overriding: out_dir = out/member1/bs64_L4_H4_E128_B8_D0.1_I1000
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: dropout = 0.1
Overriding: max_iters = 120
Overriding: eval_interval = 40
Overriding: eval_iters = 50
Overriding: always_save_checkpoint = False
Overriding: init_from = scratch
Overriding: bias = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1670, val loss 4.1676
iter 0: loss 4.1860, time 1106.05ms, mfu -100.00%
iter 1: loss 4.1651, time 449.48ms, mfu -100.00%
iter 2: loss 4.1608, time 447.62ms, mfu -100.00%
iter 3: loss 4.1593, time 572.17ms, mfu -100.00%
iter 4: loss 4.1553, time 566.40ms, mfu -100.00%
iter 5: loss 4.1663, time 598.32ms, mfu 0.06%
iter 6: loss 4.1802, time 628.77ms, mfu 0.06%
iter 7: loss 4.1613, time 460.44ms, mfu 0.06%
iter 8: loss 4.1477, time 434.61ms, mfu 0.06%
iter 9: loss 4.1751, time 456.88ms, mfu 0.06%
iter 10: loss 4.1378, time 436.46ms, mfu 0.06%
iter 11: loss 4.1230, time 434.47ms, mfu 0.06%
iter 12: loss 4.1342, time 442.40ms, mfu 0.07%
iter 13: loss 4.1239, time 440.05ms, mfu 0.07%
iter 14: loss 4.1512, time 450.86ms, mfu 0.07%
iter 15: loss 4.1100, time 430.96ms, mfu 0.07%
iter 16: loss 4.1149, time 473.41ms, mfu 0.07%
iter 17: loss 4.0968, time 444.61ms, mfu 0.07%
iter 18: loss 4.1060, time 434.55ms, mfu 0.07%
iter 19: loss 4.0826, time 452.95ms, mfu 0.07%
iter 20: loss 4.0824, time 491.68ms, mfu 0.07%
iter 21: loss 4.0808, time 616.08ms, mfu 0.07%
iter 22: loss 4.0547, time 461.80ms, mfu 0.07%
iter 23: loss 4.0378, time 458.65ms, mfu 0.07%
iter 24: loss 4.0271, time 440.60ms, mfu 0.07%
iter 25: loss 4.0558, time 492.41ms, mfu 0.07%
iter 26: loss 4.0252, time 438.72ms, mfu 0.07%
iter 27: loss 3.9729, time 440.14ms, mfu 0.07%
iter 28: loss 4.0066, time 511.64ms, mfu 0.07%
iter 29: loss 3.9635, time 573.36ms, mfu 0.07%
iter 30: loss 3.9839, time 560.57ms, mfu 0.07%
iter 31: loss 3.9830, time 665.29ms, mfu 0.07%
iter 32: loss 3.9706, time 482.01ms, mfu 0.07%
iter 33: loss 3.9320, time 450.33ms, mfu 0.07%
iter 34: loss 3.9247, time 426.01ms, mfu 0.07%
iter 35: loss 3.9164, time 424.14ms, mfu 0.07%
iter 36: loss 3.9326, time 448.26ms, mfu 0.07%
iter 37: loss 3.9189, time 442.64ms, mfu 0.07%
iter 38: loss 3.9170, time 454.36ms, mfu 0.07%
iter 39: loss 3.8581, time 445.34ms, mfu 0.07%
step 40: train loss 3.8367, val loss 3.8436
saving checkpoint to out/member1/bs64_L4_H4_E128_B8_D0.1_I1000
iter 40: loss 3.8833, time 938.17ms, mfu 0.07%
iter 41: loss 3.8515, time 467.22ms, mfu 0.07%
iter 42: loss 3.8611, time 418.84ms, mfu 0.07%
iter 43: loss 3.8145, time 440.70ms, mfu 0.07%
iter 44: loss 3.8275, time 437.09ms, mfu 0.07%
iter 45: loss 3.8132, time 422.77ms, mfu 0.07%
iter 46: loss 3.7844, time 498.59ms, mfu 0.07%
iter 47: loss 3.7956, time 455.36ms, mfu 0.07%
iter 48: loss 3.7934, time 436.28ms, mfu 0.07%
iter 49: loss 3.7971, time 440.36ms, mfu 0.07%
iter 50: loss 3.7754, time 443.40ms, mfu 0.07%
iter 51: loss 3.7712, time 455.79ms, mfu 0.07%
iter 52: loss 3.7443, time 432.59ms, mfu 0.07%
iter 53: loss 3.7538, time 520.71ms, mfu 0.07%
